date,adm1_code,data,prediction,split,forecast_step
2022-06-29,900219,0.5730671783786135,0.5937782558583404,1,29
2022-06-30,900219,0.5742456863673245,0.5918096498178567,1,30
2022-07-01,900219,0.574240120576332,0.5759583813529292,1,31
2022-07-02,900219,0.5533108433108261,0.5900266552729236,1,32
2022-07-03,900219,0.5412605810402208,0.6034559384689222,1,33
2022-07-04,900219,0.5493737990015299,0.6096657905350272,1,34
2022-07-05,900219,0.5582428147139334,0.6182573644085075,1,35
2022-07-06,900219,0.5846803060561255,0.6257832548201896,1,36
2022-07-07,900219,0.5820141809735745,0.6169580806311993,1,37
2022-07-08,900219,0.6132981369702277,0.5989746360418327,1,38
2022-07-09,900219,0.6323822698155582,0.6168677035538581,1,39
2022-07-10,900219,0.6113881456975374,0.6100994564003894,1,40
