,FCS,FCS,FCS,rCSI,rCSI,rCSI,PEWI,PEWI,PEWI,rainfall,rainfall,rainfall,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,NDVI,NDVI,NDVI,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,CE official,headline inflation,food inflation,Battles,Battles,Battles,Violence against civilians,Violence against civilians,Violence against civilians,Remote violence,Remote violence,Remote violence,Ramadan,day of the year,lean season
,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,national,national,national,2211,2216,2240,2211,2216,2240,2211,2216,2240,national,national,national
2020-05-16,0.3332622984148521,0.5321823642031105,0.2505116157993621,0.1303073620797807,0.0449879927449069,0.1243417707374675,-0.4322125221064052,0.1998564899876219,-0.114596726045002,27.629332815486663,7.276181056634191,5.207397439214192,-0.140751653297478,-0.3089346303054101,-0.2759526495452724,-0.1952744879754122,-0.2971841153560159,-0.2804153604820325,0.3787805917453569,0.2345605774323194,0.200969254038593,-0.0783441101590481,0.0363333454996194,0.0357864073207944,1.000002345520133,0.9999972507474224,0.9999940406416974,360.00076809998313,12.400025735117834,15.039992052326628,24.000237522127637,285.0005809804859,133.9990064520052,13.999850781710045,43.00023634650631,3.381737855406587e-05,0.0002372576601564,332.00000489659834,21.000562741663213,0.9999972801775312,137.00055693744602,0.9999961320791008
2020-05-17,0.3214973110084458,0.5271212158039421,0.23738470719198,0.1347156275707061,0.0367806579673569,0.1239231251808512,-0.4349986703630315,0.19974068270036,-0.1041475406784945,29.629491539008978,8.371228395345534,5.962776989713081,-0.1373667125098477,-0.3000408680857502,-0.2602186849877018,-0.1946660192007987,-0.288376795492332,-0.2618955989407175,0.3821612175554963,0.2360179087165394,0.2013402459840842,-0.079131135412644,0.0366653772658172,0.0357043079317158,1.0000000877880395,1.0000061032521412,0.9999973128623744,359.99847315153846,12.405358306691012,15.044634078397484,24.00045916407532,325.0002074072212,133.99983820637632,13.999819648810892,43.0002819481998,-0.0008675554490179,0.0002147021463613,332.00056695898843,21.00006057136632,1.0000016986234348,138.00171505984412,1.000003260169889
2020-05-18,0.3228620713136588,0.5340208469219515,0.2297514990455941,0.1365044453491395,0.035543719852563,0.1274245407994481,-0.4377750038627077,0.1996281509844047,-0.0936806031716214,31.630270242704476,9.465613447624296,6.71898414355747,-0.1339860961035959,-0.2911480703101053,-0.2444883040752122,-0.194062204796775,-0.2795732099958175,-0.2433721487977029,0.3855420724694466,0.237480403203691,0.2017129138604389,-0.079919660364583,0.036997969563661,0.0356245612033436,1.0000024425759662,0.9999942647458095,1.000008061075924,360.000561737854,12.410612680471392,15.049309455612912,23.999640653572477,324.99899672034377,144.99851557949447,14.000100732494122,44.00039760612839,2.8635018883001e-05,8.051932033299782e-05,335.9996644705677,20.999706480479368,1.000003454293223,139.00044318990044,0.9999953991265708
2020-05-19,0.3183144423026923,0.5412287347532874,0.2283760521014851,0.1333652004115547,0.0327850120128323,0.1213530959748817,-0.4405464447952071,0.1995162196672181,-0.0832333629358887,33.62987527929156,10.560867088052278,7.475951113339284,-0.130598064913945,-0.2822584488844552,-0.2287550611327695,-0.1934573251637876,-0.2707702808568882,-0.2248564617032011,0.3889227171280289,0.2389383143995969,0.202081244338745,-0.0807068323049555,0.037330126307234,0.0355421748456477,0.999998742212101,0.9999955181699915,0.999999545745083,360.00043951371947,12.41602791641961,15.053998716616231,23.999612406216173,325.00049281942165,145.00132387165127,11.999685836074724,44.00005159994337,6.641262766343737e-05,-0.000214957676799,336.0004796248683,21.000139800006565,1.0000032079279737,139.99944779530637,0.9999960235542372
2020-05-20,0.3167601091283404,0.542872208693702,0.2324181250806286,0.1315890026761402,0.0292850825883967,0.1221514441348504,-0.4433261484470096,0.1994071983703046,-0.0727548086156749,35.630418452069,11.655858755115338,8.232705575865921,-0.1272170337422534,-0.2733730211810026,-0.2130222082677343,-0.1928568415173013,-0.2619658311083047,-0.2063369723560414,0.3922997627553823,0.2403984213124699,0.2024488569337236,-0.0814956208353602,0.0376618313156669,0.0354618202068705,0.9999937940202706,0.9999973113669416,1.0000018308483556,360.0000664491789,12.421352923452476,15.058655362018303,23.998936321711646,330.9997472784089,144.99925013569268,11.999784612638146,43.99961080112666,6.9500976897036e-05,-0.0005792159594677,315.99997421011034,21.0008862824293,0.9999991594005672,141.00170127829125,0.999998453063146
2020-05-21,0.3185463654474678,0.5360551757778013,0.2225821008209177,0.1355106305768501,0.0271318207814641,0.1272957359396938,-0.4461121628119627,0.1993046290696213,-0.0622938740660036,37.63105995427987,12.750642942734736,8.988958533509965,-0.123834409064458,-0.2644756817373717,-0.1972936776027831,-0.1922525315738797,-0.2531662257569628,-0.1878146044076601,0.3956824914534606,0.2418576130913869,0.2028204651797296,-0.0822830273485598,0.0379943062489853,0.0353802923881539,1.000002475497692,0.9999986495877452,1.0000037205469594,359.9999542693089,12.426726265856134,15.063331975119992,23.999942626599537,327.99952016056,142.00153371493838,12.00053924163441,43.99942730542254,0.0001992047343744,-0.0001482650557766,316.0008620560632,20.999292810828184,0.9999976002327896,141.99891467716924,1.0000026472478123
2020-05-22,0.3038873913652464,0.5427848757960265,0.2196202250063804,0.1405588630287827,0.0221051121430528,0.1264941256102987,-0.4488735791848527,0.1992026276503523,-0.0518487959987878,39.63115079431885,13.845319072065871,9.744992072533243,-0.1204503420426004,-0.2555868506628678,-0.1815671415845617,-0.1916496630336188,-0.2443548435733385,-0.1692940718215663,0.3990591180726893,0.2433203715938338,0.2031905178155838,-0.0830700760318916,0.0383257710837279,0.0352994408666267,1.000002350911022,0.999995528113592,1.0000075751388764,359.9981497846976,12.432024231002142,15.06798360585482,23.999303645769075,331.0008143954152,142.00115313896632,12.000167396385612,43.99972751194888,-0.0008175101048799,-0.0002934658562099,321.00057061931784,20.9998298524214,0.9999986990486418,143.00145142276807,1.0000040695598469
2020-05-23,0.2957508158013867,0.5369479332584449,0.2156545680433001,0.1475689497537284,0.0282281534533036,0.1256834559634195,-0.4516745506945478,0.1991022284261195,-0.0413925824583666,41.63181644536055,14.939889374555392,10.502156295649256,-0.1170686771516989,-0.2466933728776757,-0.1658330086547368,-0.1910425189575304,-0.235560914251118,-0.1507708512618199,0.402438181683073,0.244781432000158,0.2035601191231806,-0.083857520311484,0.0386580095132603,0.0352183500331883,0.999994592942621,1.000006341472977,1.00000219252868,359.9972133558496,12.437357211599236,15.07262894321935,23.99914976834473,330.9989608209337,141.9995249453367,11.999743599644605,44.00009766640946,0.000566542711616,-0.0004254118425255,320.9997418610933,21.00001600400998,1.000001143817258,144.0009731808796,1.0000030908593982
2020-05-24,0.2969923368121135,0.5344595096294746,0.2154515472172886,0.1427267952676059,0.0259658046966098,0.1356251298387434,-0.4544434381373502,0.1989872833671217,-0.0309222302984769,43.63163451124316,16.035428900353992,11.258686092374736,-0.1136835734057047,-0.2378063978295704,-0.1501046461264443,-0.1904319976578646,-0.2267537458877071,-0.1322548330128708,0.4058201841860244,0.2462376632983776,0.2039312572056407,-0.0846457521904719,0.038990559819354,0.035137691784727,1.0000003563154003,1.000002911022715,1.0000046287326088,360.00054271084434,12.442720446594782,15.07733054841326,24.00018022228656,343.00171973464387,141.9986107791148,12.000261723938152,43.9997400778449,6.819103216585562e-05,0.000496045262511,336.0001717897773,20.999657938102303,1.0000002624106137,144.99960574718736,0.9999949374566636
2020-05-25,0.300330274664505,0.54315258856337,0.2034850933346531,0.1352065806010669,0.0235108126884261,0.1400166918803934,-0.4572188941682558,0.1988847721042952,-0.0204722039719839,45.63183616134502,17.13051959819564,12.016299844051412,-0.1102999605206162,-0.2289139743932674,-0.1343675881416346,-0.1898285135048921,-0.2179519747485886,-0.1137330480577084,0.4091992394775776,0.24769830706998,0.2043007584307509,-0.0854333281278434,0.0393233998478386,0.0350556018653763,0.9999970748893052,0.9999965134319048,0.999997921811419,360.001946962129,12.44794695535692,15.082018599346869,20.999875201947347,346.0010325585881,142.0016781721003,11.999658994406046,44.00022141182079,-0.0001311834037381,-0.0002793268001215,338.9997728023068,21.00005769437912,-1.8723310571739217e-06,146.00161217951097,1.0000006499122045
